mcc_description,gender,amount
"Звонки с использованием телефонов, считывающих магнитную ленту",0.0,-2245.92
"Звонки с использованием телефонов, считывающих магнитную ленту",1.0,-3368.87
Зоомагазины,0.0,-8044.87
Зоомагазины,1.0,-12352.54
Зубные и медицинские лаборатории,0.0,-56147.89
Зубные и медицинские лаборатории,1.0,-63447.12
Изготовление и продажа меховых изделий,0.0,-179673.26
Изготовление и продажа меховых изделий,1.0,-302524.85
Иной сервис,0.0,-40089.6
Иной сервис,1.0,-17944.87
Информационные провайдеры,0.0,-6737.75
Информационные провайдеры,1.0,-9503.595000000001
Кабельные и другие платные телевизионные услуги,0.0,-5592.33
Кабельные и другие платные телевизионные услуги,1.0,-19090.285000000003
"Канцелярия, офисные сопутствующие товары, бумага для печатания и письма",0.0,-7074.63
"Канцелярия, офисные сопутствующие товары, бумага для печатания и письма",1.0,-40996.27
Кинотеатры,0.0,-13924.68
Кинотеатры,1.0,-13700.09
"Клубы — сельские клубы, членство(спортивный, отдых, спорт), частные поля для гольфа",0.0,-23582.12
"Клубы — сельские клубы, членство(спортивный, отдых, спорт), частные поля для гольфа",1.0,-29196.91
"Книги, периодические издания и газеты",0.0,-2616.495
"Книги, периодические издания и газеты",1.0,-5783.235
Книжные магазины,0.0,-9197.03
Книжные магазины,1.0,-9152.11
"Колледжи, университеты, профессиональные школы и младшие колледжи",0.0,-134754.95
"Колледжи, университеты, профессиональные школы и младшие колледжи",1.0,-91633.36
"Коммунальные услуги — электричество, газ, санитария, вода",0.0,-16395.41
"Коммунальные услуги — электричество, газ, санитария, вода",1.0,-21419.635000000002
Компьютерная сеть/информационные услуги,0.0,-10106.62
Компьютерная сеть/информационные услуги,1.0,-11229.58
"Компьютеры, периферийное компьютерное оборудование, программное обеспечение",0.0,-13700.085
"Компьютеры, периферийное компьютерное оборудование, программное обеспечение",1.0,-48736.37
Кондитерские,0.0,-5356.51
Кондитерские,1.0,-8916.29
Круизные линии,0.0,-77535.3
Круизные линии,1.0,-12174.66
"Легковой и грузовой транспорт — продажа, сервис, ремонт, запчасти и лизинг",0.0,-13340.74
"Легковой и грузовой транспорт — продажа, сервис, ремонт, запчасти и лизинг",1.0,-46108.65
"Лекарства, их распространители, аптеки",0.0,-7928.08
"Лекарства, их распространители, аптеки",1.0,-21122.84
Лесо- и строительный материал,0.0,-17407.87
Лесо- и строительный материал,1.0,-10558.61
Лимузины и такси,0.0,-7523.82
Лимузины и такси,1.0,-6872.5
"Луна-парки, карнавалы, цирки, предсказатели будущего",0.0,-16844.37
"Луна-парки, карнавалы, цирки, предсказатели будущего",1.0,-28635.425000000003
"Магазины second hand, магазины б/у товаров, комиссионки",0.0,-8860.14
Магазины звукозаписи,0.0,-2672.64
Магазины звукозаписи,1.0,-3795.6
Магазины игрушек,0.0,-18852.22
Магазины игрушек,1.0,-18277.94
"Магазины кожаных изделий, дорожных принадлежностей",0.0,-49410.15
"Магазины кожаных изделий, дорожных принадлежностей",1.0,-47972.76
Магазины косметики,0.0,-14766.9
Магазины косметики,1.0,-19494.55
Магазины мужской и женской одежды,0.0,-33666.28
Магазины мужской и женской одежды,1.0,-44019.95
"Магазины открыток, подарков, новинок и сувениров",0.0,-20887.02
"Магазины открыток, подарков, новинок и сувениров",1.0,-16390.465
"Магазины офисных, школьных принадлежностей, канцтоваров",0.0,-6760.21
"Магазины офисных, школьных принадлежностей, канцтоваров",1.0,-7097.09
"Магазины по продаже часов, ювелирных изделий и изделий из серебра",0.0,-66254.52
"Магазины по продаже часов, ювелирных изделий и изделий из серебра",1.0,-122481.02
"Магазины с продажей спиртных напитков на вынос (пиво, вино и ликер)",0.0,-6108.89
"Магазины с продажей спиртных напитков на вынос (пиво, вино и ликер)",1.0,-6288.56
Магазины спорттоваров,0.0,-35373.17
Магазины спорттоваров,1.0,-38180.57
"Магазины ткани, ниток рукоделия, шитья",0.0,-7344.145
"Магазины ткани, ниток рукоделия, шитья",1.0,-15698.95
Магазины фотооборудования и фотоприборов,0.0,-9432.85
Магазины фотооборудования и фотоприборов,1.0,-18057.16
Магазины хрусталя и изделий из стекла,0.0,-15272.23
Магазины хрусталя и изделий из стекла,1.0,-22459.16
Магазины художественных и ремесленных изделий,0.0,-16148.13
Магазины художественных и ремесленных изделий,1.0,-11510.32
"Магазины, торгующие по сниженным ценам",0.0,-22161.35
"Места общественного питания, рестораны",0.0,-4738.88
"Места общественного питания, рестораны",1.0,-7186.93
"Мужская одежда и аксессуары, включая одежду для мальчиков",0.0,-67950.18
"Мужская одежда и аксессуары, включая одежду для мальчиков",1.0,-97528.89499999999
"Мужская, женская и детская спец-одежда",0.0,-27096.975
"Мужская, женская и детская спец-одежда",1.0,-38517.46
Налоговые платежи,0.0,-10460.8
Налоговые платежи,1.0,-11229.58
"Не-финансовые институты — иностранная валюта, денежные переводы (непередаваемые), дорожные чеки, квази-кэш",0.0,-9277.54
"Не-финансовые институты — иностранная валюта, денежные переводы (непередаваемые), дорожные чеки, квази-кэш",1.0,-13475.49
Нефть и нефтепродукты,0.0,-11083.595000000001
Нефть и нефтепродукты,1.0,-8983.66
Оборудование для водопровода и отопительной системы,0.0,-119785.92
Оборудование для водопровода и отопительной системы,1.0,-14879.189999999999
"Оборудование для выращивания растений, инвентарь для питомников и цветы",0.0,-5075.7699999999995
"Оборудование для выращивания растений, инвентарь для питомников и цветы",1.0,-24143.595
Оборудование и сопутствующие материалы для технического обеспечения,0.0,-11386.79
Оборудование и сопутствующие материалы для технического обеспечения,1.0,-4514.29
"Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)",0.0,-41962.69
"Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)",1.0,-34654.48
Образовательные услуги,0.0,-43233.880000000005
Образовательные услуги,1.0,-16844.370000000003
Обувные магазины,0.0,-45816.68
Обувные магазины,1.0,-45704.39
Общий ремонт,0.0,-58348.895
Общий ремонт,1.0,-44918.315
Одежда для всей семьи,0.0,-30274.94
Одежда для всей семьи,1.0,-29531.21
"Оптика, оптические товары и очки",0.0,-31779.71
"Оптика, оптические товары и очки",1.0,-28523.129999999997
Оптовики,0.0,-37072.21
Оптовики,1.0,-39096.0
Организации благотворительные и общественные службы,0.0,-1400.78
Организации благотворительные и общественные службы,1.0,-864.115
"Организации, членства, нигде ранее не классифицируемые",0.0,-521107.48
"Организации, членства, нигде ранее не классифицируемые",1.0,-73913.09
Ортопедические товары,0.0,-9612.52
Ортопедические товары,1.0,-16709.61
"Отели, мотели, базы отдыха, сервисы бронирования",0.0,-123525.37
"Отели, мотели, базы отдыха, сервисы бронирования",1.0,-91071.88500000001
"Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование",0.0,-5502.495
"Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование",1.0,-73778.335
Паркинги и гаражи,0.0,-2245.92
Паркинги и гаражи,1.0,-2245.92
Пассажирские железные перевозки,0.0,-17684.34
Пассажирские железные перевозки,1.0,-33214.845
Плавательные бассейны — распродажа,0.0,-8556.94
Плавательные бассейны — распродажа,1.0,-8010.17
Подрядчики по электричеству,1.0,-55923.3
"Подрядчики, специализированная торговля — нигде более не классифицированные",0.0,-45704.39
"Подрядчики, специализированная торговля — нигде более не классифицированные",1.0,-11274.5
Покрытия для пола,0.0,-78607.05
Покрытия для пола,1.0,-11678.76
Поставщики грузовиков и запчастей,0.0,-15721.41
Поставщики грузовиков и запчастей,1.0,-10106.62
Поставщики провизии,0.0,-4637.82
Поставщики провизии,1.0,-21504.64
Почтовые услуги — только правительство,1.0,-4581.67
"Правительственные услуги, нигде ранее не классифицируемые",0.0,-23761.79
"Правительственные услуги, нигде ранее не классифицируемые",1.0,-11903.35
"Практикующие врачи, медицинские услуги, нигде ранее не классифицируемые",0.0,-33688.74
"Практикующие врачи, медицинские услуги, нигде ранее не классифицируемые",1.0,-31442.82
Принадлежности для видеоигр,0.0,-8062.84
Принадлежности для видеоигр,1.0,-30465.85
"Программирование, обработка данных, интегрированные системы, дизайн",0.0,-4886.89
"Программирование, обработка данных, интегрированные системы, дизайн",1.0,-14062.24
Продажа компьютерного программного обеспечения,0.0,-20437.835
Продажа компьютерного программного обеспечения,1.0,-20213.24
Продажа молочных продуктов в розницу,0.0,-10084.16
Продажа молочных продуктов в розницу,1.0,-3017.385
Продажа мотоциклов,1.0,-198202.065
"Продажа музыкальных инструментов, фортепиано, нот",1.0,-355651.205
Продажа свежего и мороженого мяса,0.0,-6782.67
Продажа свежего и мороженого мяса,1.0,-6019.05
Продажа снегоходов,1.0,-101524.38
"Продажа страхования, гарантированное размещение, премии",0.0,-89836.63
"Продажа страхования, гарантированное размещение, премии",1.0,-105804.87
Продажа электронного оборудования,0.0,-29578.71
Продажа электронного оборудования,1.0,-28972.31
Прокат автомобилей,1.0,-64132.009999999995
Промышленное оборудование — нигде более не классифицированное,0.0,-22796.05
Промышленное оборудование — нигде более не классифицированное,1.0,-2605.26
"Профессиональные услуги, нигде ранее не классифицируемые",0.0,-2245.92
"Профессиональные услуги, нигде ранее не классифицируемые",1.0,-8624.32
Прямой маркетинг — входящий телемаркетинг,1.0,-9657.664999999999
Прямой маркетинг — другие торговые точки прямого маркетинга (нигде более не классифицированные),0.0,44527.53
Прямой маркетинг — другие торговые точки прямого маркетинга (нигде более не классифицированные),1.0,-79813.11
Прямой маркетинг — комбинированный каталог и торговцы в розницу,0.0,-53710.63
Прямой маркетинг — торговля через каталог,0.0,-4851.4
Прямой маркетинг — торговля через каталог,1.0,-5468.805
Прямой маркетинг — торговые точки подписки,0.0,-14362.63
Прямой маркетинг — торговые точки подписки,1.0,-22826.81
Различные магазины одежды и аксессуаров,0.0,-35710.06
Различные магазины одежды и аксессуаров,1.0,-44693.72
"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов",0.0,-5120.69
"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов",1.0,-5098.23
Различные специализированные магазины бытовых принадлежностей,0.0,-25828.03
Различные специализированные магазины бытовых принадлежностей,1.0,-21513.63
Различные товары общего назначения,0.0,-9028.58
Различные товары общего назначения,1.0,-11334.125
Разнообразные издательства/печатное дело,0.0,-20746.42
Разнообразные издательства/печатное дело,1.0,-17338.47
Рекламные услуги,0.0,-1572.14
Рекламные услуги,1.0,-2515.425
"Ремонт бытовой техники, ремонт электроприборы",0.0,-43683.065
"Рестораны, закусочные",0.0,-5480.03
"Рестораны, закусочные",1.0,-5524.95
"Розничная продажа стекла, красок и обоев",0.0,-3503.63
"Розничная продажа стекла, красок и обоев",1.0,-18639.190000000002
СТО общего назначения,0.0,-35597.765
СТО общего назначения,1.0,-33688.74
Садовые принадлежности (в том числе для ухода за газонами) в розницу,0.0,-24306.425
Садовые принадлежности (в том числе для ухода за газонами) в розницу,1.0,-25637.13
Салоты красоты и парикмахерские,0.0,-32004.3
Салоты красоты и парикмахерские,1.0,-19651.76
Сервисы по покупке/продаже,0.0,-1682.19
Скобяные товары в розницу,0.0,-13475.49
Скобяные товары в розницу,1.0,-12431.145
Службы знакомств,0.0,0.0
Службы знакомств,1.0,-5855.1
"Спортивная одежда, одежда для верховой езды и езды на мотоцикле",0.0,-54463.455
"Спортивная одежда, одежда для верховой езды и езды на мотоцикле",1.0,-39786.4
Станции техобслуживания,0.0,-15115.01
Станции техобслуживания,1.0,-22457.475
Стоматологическое/лабороторное/медицинское/офтальмологическое стационарное оборудование и устройства,0.0,-22066.125
Стоматологическое/лабороторное/медицинское/офтальмологическое стационарное оборудование и устройства,1.0,-14834.275000000001
Строительные материалы — нигде более не классифицированные,0.0,-5322.82
Строительные материалы — нигде более не классифицированные,1.0,-202357.01
Табачные магазины,0.0,-3121.82
Табачные магазины,1.0,-6108.895
Таймшер,0.0,-26838.695
Театральные продюсерские агентства,0.0,-44918.32
Театральные продюсерские агентства,1.0,-47621.275
"Телекоммуникационное оборудование, включая продажу телефонов",0.0,-15496.82
"Телекоммуникационное оборудование, включая продажу телефонов",1.0,-17293.55
"Ткани, обивочный материал, гардины и портьеры, жалюзи",0.0,-7869.6900000000005
"Ткани, обивочный материал, гардины и портьеры, жалюзи",1.0,-14742.19
Товары длительного пользования — нигде более не классифицированные,0.0,-27355.25
Товары длительного пользования — нигде более не классифицированные,1.0,-27400.17
Товары для дома,0.0,-8762.325
Товары для дома,1.0,-8085.3
"Товары недлительного пользования, не классифицированные ранее",0.0,-112295.79
"Товары недлительного пользования, не классифицированные ранее",1.0,-19090.285
Транзакции по азартным играм,0.0,-2268.375
Транзакции по азартным играм,1.0,-19988.65
"Транспортировка — пригородные и локальные сезонные транспортные средства, включая электрички",0.0,-10443.51
"Транспортировка — пригородные и локальные сезонные транспортные средства, включая электрички",1.0,-10106.62
Туристические агентства и организаторы экскурсий,0.0,-65154.015
Туристические агентства и организаторы экскурсий,1.0,-170577.3
Туристические аттракционы и шоу,0.0,-9208.25
Туристические аттракционы и шоу,1.0,-26950.99
Универмаги,0.0,-9084.73
Универмаги,1.0,-7568.74
Универсальные магазины,0.0,-6142.13
Универсальные магазины,1.0,-7254.31
Услуги копировальных центров,1.0,-7939.3099999999995
"Услуги курьера — по воздуху и на земле, агентство по отправке грузов",0.0,-55474.12
"Услуги курьера — по воздуху и на земле, агентство по отправке грузов",1.0,-27781.645
"Услуги отдыха, нигде ранее не классифицируемые",0.0,-13475.49
"Услуги отдыха, нигде ранее не классифицируемые",1.0,-28883.489999999998
"Услуги по переделке, починке и пошиву одежды",0.0,-171722.72
Услуги по транспортировке — нигде более не классифицированные,0.0,-8983.66
Услуги по транспортировке — нигде более не классифицированные,1.0,-11791.055
Финансовые институты — снятие наличности автоматически,0.0,-22459.16
Финансовые институты — снятие наличности автоматически,1.0,-33688.74
Финансовые институты — снятие наличности вручную,0.0,14261.57
Финансовые институты — снятие наличности вручную,1.0,10780.4
Финансовые институты — торговля и услуги,0.0,-4098.795
Финансовые институты — торговля и услуги,1.0,22459.16
Флористика,0.0,-13890.99
Флористика,1.0,-18865.69
Фотостудии,0.0,-10376.135
Фотостудии,1.0,-5614.79
"Фотостудии, фотолаборатории",0.0,-3559.7749999999996
"Фотостудии, фотолаборатории",1.0,-48960.96
"Химикалии и смежные вещества, не классифицированные ранее",0.0,-156984.01
"Химикалии и смежные вещества, не классифицированные ранее",1.0,-58488.59
Химчистки,0.0,-26849.925
Химчистки,1.0,-42245.68
Ценные бумаги: брокеры/дилеры,0.0,-6737.75
Ценные бумаги: брокеры/дилеры,1.0,-11229.58
Центры здоровья,0.0,-32565.78
Центры здоровья,1.0,-36585.97
"Цифровые товары, игры",0.0,-4480.6
"Цифровые товары, игры",1.0,-4480.6
Школы — бизнес и секретарей,0.0,-160582.98
Школы — бизнес и секретарей,1.0,-13475.49
Штрафы,0.0,-11903.35
Штрафы,1.0,-11678.76
"Штучные товары, галантерея и другие текстильные товары",0.0,-7186.93
Электрические части и оборудование,0.0,-93963.5
Электрические части и оборудование,1.0,-16414.61
